repo_name,function_name,language,file_path,line,signature_excerpt,visibility,invocation_type,called_by,reference_count,string_reference_count,live_confidence,notes,owner_review,status,same_file_reference_count,same_file_string_reference_count,total_reference_count,path_invoked_match_file
Solution,waitForApi,ts,e2e/base.ts,51,"export async function waitForApi(page: Page, namespace: string): Promise<void> {",public,Direct,"e2e/accounts.spec.ts (3 call refs, 0 string refs); e2e/git.spec.ts (1 call refs, 0 string refs); e2e/llm.spec.ts (1 call refs, 0 string refs); e2e/workspace-routing.spec.ts (2 call refs, 0 string refs); e2e/provider-policy.spec.ts (2 call refs, 0 string refs); e2e/journal.spec.ts (2 call refs, 0 string refs); e2e/audit.spec.ts (2 call refs, 0 string refs)",13,0,high,Cross-file references detected; review for external wiring.,,,0,0,13,
Solution,writeJson,ts,e2e/regression/approval-audit-compliance.spec.ts,114,"async function writeJson(filePath: string, value: unknown): Promise<void> {",test-only,Test,"src/llm/experience-db.js (3 call refs, 0 string refs); e2e/regression/workspace-policy-context-routing.spec.ts (11 call refs, 0 string refs); e2e/smoke/account-rotation-ai-capture.spec.ts (10 call refs, 0 string refs)",24,0,medium,Same-file references detected; private helper usage is present.,,,10,0,34,
Solution,createIsolatedState,ts,e2e/regression/approval-audit-compliance.spec.ts,119,async function createIsolatedState(): Promise<TestState> {,test-only,Test,"e2e/regression/workspace-policy-context-routing.spec.ts (2 call refs, 0 string refs); e2e/smoke/account-rotation-ai-capture.spec.ts (2 call refs, 0 string refs)",4,0,medium,Same-file references detected; private helper usage is present.,,,1,0,5,
Solution,writeJson,ts,e2e/regression/workspace-policy-context-routing.spec.ts,95,"async function writeJson(filePath: string, value: unknown): Promise<void> {",test-only,Test,"src/llm/experience-db.js (3 call refs, 0 string refs); e2e/regression/approval-audit-compliance.spec.ts (11 call refs, 0 string refs); e2e/smoke/account-rotation-ai-capture.spec.ts (10 call refs, 0 string refs)",24,0,medium,Same-file references detected; private helper usage is present.,,,10,0,34,
Solution,createIsolatedState,ts,e2e/regression/workspace-policy-context-routing.spec.ts,100,async function createIsolatedState(): Promise<TestState> {,test-only,Test,"e2e/regression/approval-audit-compliance.spec.ts (2 call refs, 0 string refs); e2e/smoke/account-rotation-ai-capture.spec.ts (2 call refs, 0 string refs)",4,0,medium,Same-file references detected; private helper usage is present.,,,1,0,5,
Solution,writeJson,ts,e2e/smoke/account-rotation-ai-capture.spec.ts,98,"async function writeJson(filePath: string, value: unknown): Promise<void> {",test-only,Test,"src/llm/experience-db.js (3 call refs, 0 string refs); e2e/regression/workspace-policy-context-routing.spec.ts (11 call refs, 0 string refs); e2e/regression/approval-audit-compliance.spec.ts (11 call refs, 0 string refs)",25,0,medium,Same-file references detected; private helper usage is present.,,,9,0,34,
Solution,createIsolatedState,ts,e2e/smoke/account-rotation-ai-capture.spec.ts,103,async function createIsolatedState(): Promise<TestState> {,test-only,Test,"e2e/regression/workspace-policy-context-routing.spec.ts (2 call refs, 0 string refs); e2e/regression/approval-audit-compliance.spec.ts (2 call refs, 0 string refs)",4,0,medium,Same-file references detected; private helper usage is present.,,,1,0,5,
Solution,seedAccount,ts,e2e/smoke/account-rotation-ai-capture.spec.ts,196,"async function seedAccount(state: TestState, page: import(""@playwright/test"").Page): Promise<SeededAccount> {",test-only,Test,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,loadIcon,js,electron-tray/main.js,31,function loadIcon(state) {,internal,CLI,,0,0,high,Same-file references detected; private helper usage is present.,,,2,0,2,
Solution,getStateFromAccounts,js,electron-tray/main.js,36,function getStateFromAccounts(accounts) {,internal,CLI,,0,0,high,Same-file references detected; private helper usage is present.,,,2,0,2,
Solution,truncate,js,electron-tray/main.js,44,"function truncate(text, limit) {",internal,CLI,"src/commands/handoff.js (2 call refs, 0 string refs); tests/handoff.test.js (2 call refs, 0 string refs)",4,0,high,Same-file references detected; private helper usage is present.,,,1,0,5,
