key,component,line,message,vulnerabilityProbability,securityCategory,ruleKey
f75a1dea-2a27-4852-b6fe-92a48365fab2,strategic-learning-unified-theatre:src/installer/hw-probe/hwProbe.ts,169,"Make sure that executing this OS command is safe here.",HIGH,command-injection,typescript:S4721
93420aa3-254a-463f-a17a-3cf7ea72e6ad,strategic-learning-unified-theatre:src/installer/hw-probe/hwProbe.ts,182,"Make sure the regex used here, which is vulnerable to super-linear runtime due to backtracking, cannot lead to denial of service.",MEDIUM,dos,typescript:S5852
4c86c0f4-69bc-4070-9ac1-46f6ae3e19b9,strategic-learning-unified-theatre:src/internal/git-monitor.js,22,"Make sure the regex used here, which is vulnerable to super-linear runtime due to backtracking, cannot lead to denial of service.",MEDIUM,dos,javascript:S5852
0d22cc25-368f-4a3d-b4fe-a0fa6c01ecb4,strategic-learning-unified-theatre:src/storage/vscode-learn-utils.js,62,"Make sure the regex used here, which is vulnerable to super-linear runtime due to backtracking, cannot lead to denial of service.",MEDIUM,dos,javascript:S5852
f62484eb-abca-45d4-9b92-c224d9a8245f,strategic-learning-unified-theatre:src/test-runner.js,81,"Make sure the regex used here, which is vulnerable to super-linear runtime due to backtracking, cannot lead to denial of service.",MEDIUM,dos,javascript:S5852
dd6ec2f3-f0bb-4e11-a242-3087881a9dfd,strategic-learning-unified-theatre:src/test-runner.js,203,"Make sure the regex used here, which is vulnerable to super-linear runtime due to backtracking, cannot lead to denial of service.",MEDIUM,dos,javascript:S5852
eb57c0d8-0aac-43c3-a256-f61d6effb2b9,strategic-learning-unified-theatre:src/llm/embeddings.js,58,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
a291447b-5dd1-4ce7-8e61-0c8196d29183,strategic-learning-unified-theatre:src/llm/embeddings.js,106,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
625bc7bd-413f-4b29-b9c0-c3471b3efef9,strategic-learning-unified-theatre:tests/backwards-compat.test.js,20,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
8650cbfb-2ef9-4793-af78-fe93234747dd,strategic-learning-unified-theatre:tests/llm/embeddings.test.js,67,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
6361974d-d18c-4967-a062-34c6dbefae23,strategic-learning-unified-theatre:tests/regression/health-edge-cases.test.js,235,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
f1eff3da-e2de-42d3-af8f-c9b18cbe5a43,strategic-learning-unified-theatre:tests/regression/health-edge-cases.test.js,237,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
4daddbd4-f1a3-437b-a6b1-ccce07231c5c,strategic-learning-unified-theatre:tests/regression/scoring-invariants.test.js,20,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
a9df35a8-31d7-4fb6-bd9a-d46b9dddec88,strategic-learning-unified-theatre:tests/regression/scoring-invariants.test.js,34,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
cdb822fd-a092-474a-8da1-f2853fd2992b,strategic-learning-unified-theatre:tests/regression/scoring-invariants.test.js,36,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
bbaa60cf-81cf-47c3-bbc0-e961feb280df,strategic-learning-unified-theatre:tests/regression/scoring-invariants.test.js,42,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
148901d7-88c7-4f55-9bea-b4bd3413b546,strategic-learning-unified-theatre:tests/regression/scoring-invariants.test.js,51,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
8bd9a773-2a2b-4587-a40f-bf787ceb04bf,strategic-learning-unified-theatre:tests/regression/scoring-invariants.test.js,53,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
36bec741-0a16-4630-872b-89566a09798e,strategic-learning-unified-theatre:tests/regression/scoring-invariants.test.js,56,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
c98fa493-7f17-4315-8df7-975b98608497,strategic-learning-unified-theatre:tests/regression/scoring-invariants.test.js,108,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
185d95aa-0a4c-45a2-9007-b6b7e82535c8,strategic-learning-unified-theatre:vscode-extension/collector.js,443,"Make sure that using this pseudorandom number generator is safe here.",MEDIUM,weak-cryptography,javascript:S2245
5272a8c5-a897-48b0-9936-b3cbb34fca2a,strategic-learning-unified-theatre:src/auth-capture.js,106,"Make sure the ""PATH"" variable only contains fixed, unwriteable directories.",LOW,others,javascript:S4036
7de01418-58d8-45d9-a2cc-2fe0cb7eeb1b,strategic-learning-unified-theatre:src/encrypt.js,17,"Make sure the ""PATH"" variable only contains fixed, unwriteable directories.",LOW,others,javascript:S4036
8890166a-67fd-4db9-bf39-edf1acd20ac4,strategic-learning-unified-theatre:src/encrypt.js,33,"Make sure the ""PATH"" variable only contains fixed, unwriteable directories.",LOW,others,javascript:S4036
9631bded-9041-4a30-8ab3-b88040bc3f63,strategic-learning-unified-theatre:src/encrypt.js,53,"Make sure the ""PATH"" variable only contains fixed, unwriteable directories.",LOW,others,javascript:S4036
