rule,severity,file,line,message
javascript:S6582,MAJOR,strategic-learning-unified-theatre:src/browser-bridge.js,304,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:src/browser-bridge.js,308,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S6653,MINOR,strategic-learning-unified-theatre:src/internal/reporter.js,38,Use 'Object.hasOwn()' instead of 'Object.prototype.hasOwnProperty.call()'.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:src/llm/experience-db.js,425,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/llm/training-exporter.js,145,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/llm/training-exporter.js,146,Do not call `Array#push()` multiple times.
javascript:S7721,MAJOR,strategic-learning-unified-theatre:src/plugin-loader.js,41,Move function 'applyCapabilities' to the outer scope.
javascript:S4624,MAJOR,strategic-learning-unified-theatre:test-bc2-integration.js,115,Refactor this code to not use nested template literals.
javascript:S1128,MINOR,strategic-learning-unified-theatre:tests/sprint18-smoke.test.js,8,Remove this unused import of 'DomainError'.
javascript:S6594,MINOR,strategic-learning-unified-theatre:src/browser-bridge.js,72,Use the "RegExp.exec()" method instead.
javascript:S4043,MAJOR,strategic-learning-unified-theatre:src/browser-bridge.js,713,Move this array "sort" operation to a separate statement or replace it with "toSorted".
javascript:S2871,CRITICAL,strategic-learning-unified-theatre:src/browser-bridge.js,713,Provide a compare function that depends on "String.localeCompare", to reliably sort elements alphabetically.
javascript:S6594,MINOR,strategic-learning-unified-theatre:src/llm/document-ingester.js,23,Use the "RegExp.exec()" method instead.
typescript:S1874,MINOR,strategic-learning-unified-theatre:src/llm/gateway.ts,39,The signature '(): $ZodFlattenedError<{ requestId: string; prompt: string; workspaceId?: string; systemPrompt?: string; intent?: "general" | "tool_use" | "summarization" | "coding" | "architecture" | "research" | "planning" | "debugging" | "analysis"; context?: string[]; metadata?: Record<...>; constraints?: { ...; }; stream?: boolean; }, string>' of 'parsedRequest.error.flatten' is deprecated.
typescript:S1874,MINOR,strategic-learning-unified-theatre:src/llm/gateway.ts,82,The signature '(): $ZodFlattenedError<{ requestId: string; provider: "custom" | "perplexity" | "gemini" | "local" | "openai" | "anthropic" | "groq"; model: string; outputText: string; finishReason?: "length" | "unknown" | "error" | "stop" | "tool_call"; usage?: { ...; }; routingReasons?: { ...; }[]; raw?: unknown; }, string>' of 'parsedResponse.error.flatten' is deprecated.
javascript:S7772,MINOR,strategic-learning-unified-theatre:scripts/check-sonar-readiness.mjs,1,Prefer `node:fs/promises` over `fs/promises`.
javascript:S2486,MINOR,strategic-learning-unified-theatre:scripts/check-sonar-readiness.mjs,11,Handle this exception or don't catch it at all.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:scripts/check-sonar-readiness.mjs,85,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:scripts/check-sonar-readiness.mjs,87,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:scripts/check-sonar-readiness.mjs,101,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S7785,MAJOR,strategic-learning-unified-theatre:scripts/check-sonar-readiness.mjs,107,Prefer top-level await over an async function `main` call.
javascript:S7772,MINOR,strategic-learning-unified-theatre:scripts/reconcile-hotspot-register.mjs,1,Prefer `node:fs/promises` over `fs/promises`.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:scripts/reconcile-hotspot-register.mjs,69,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S7785,MAJOR,strategic-learning-unified-theatre:scripts/reconcile-hotspot-register.mjs,75,Prefer top-level await over an async function `main` call.
javascript:S7785,MAJOR,strategic-learning-unified-theatre:scripts/validate-governance-config.mjs,132,Prefer top-level await over using a promise chain.
javascript:S7772,MINOR,strategic-learning-unified-theatre:scripts/validate-waivers.mjs,1,Prefer `node:fs/promises` over `fs/promises`.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:scripts/validate-waivers.mjs,55,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S7785,MAJOR,strategic-learning-unified-theatre:scripts/validate-waivers.mjs,79,Prefer top-level await over an async function `main` call.
javascript:S7722,MINOR,strategic-learning-unified-theatre:src/browser-bridge.js,40,Pass a message to the `Error` constructor.
javascript:S1874,MINOR,strategic-learning-unified-theatre:src/browser-bridge.js,235,'(params?: string | { abort?: boolean; precision?: number; offset?: boolean; local?: boolean; error?: string | $ZodErrorMap<$ZodIssueInvalidStringFormat>; message?: string; }): ZodString' is deprecated.
javascript:S2486,MINOR,strategic-learning-unified-theatre:src/browser-bridge.js,292,Handle this exception or don't catch it at all.
javascript:S7781,MINOR,strategic-learning-unified-theatre:src/browser-bridge.js,637,Prefer `String#replaceAll()` over `String#replace()`.
javascript:S7763,MINOR,strategic-learning-unified-theatre:src/browser-bridge.js,945,Use `export…from` to re-export `parseFrontmatter`.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:src/local-llm.js,100,Extract this nested ternary operation into an independent statement.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:src/local-llm.js,103,Extract this nested ternary operation into an independent statement.
javascript:S1128,MINOR,strategic-learning-unified-theatre:tests/browser-bridge.test.js,9,Remove this unused import of 'savePromptLibrary'.
javascript:S1481,MINOR,strategic-learning-unified-theatre:tests/browser-bridge.test.js,719,Remove the declaration of the unused 'mistakes' variable.
javascript:S1854,MAJOR,strategic-learning-unified-theatre:tests/browser-bridge.test.js,719,Remove this useless assignment to variable "mistakes".
javascript:S1128,MINOR,strategic-learning-unified-theatre:BC2-INTEGRATION-GUIDE.js,9,Remove this unused import of 'existsSync'.
javascript:S1128,MINOR,strategic-learning-unified-theatre:renderer/App.jsx,12,Remove this unused import of 'BrowserAutomation'.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/App.jsx,119,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/App.jsx,120,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/App.jsx,227,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/App.jsx,233,Prefer `globalThis` over `window`.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:renderer/App.jsx,238,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/App.jsx,246,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/App.jsx,247,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/App.jsx,270,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/App.jsx,271,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/App.jsx,277,Prefer `globalThis` over `window`.
javascript:S1481,MINOR,strategic-learning-unified-theatre:renderer/BrowserPanel.jsx,26,Remove the declaration of the unused 'browserUrl' variable.
javascript:S1854,MAJOR,strategic-learning-unified-theatre:renderer/BrowserPanel.jsx,26,Remove this useless assignment to variable "browserUrl".
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/BrowserPanel.jsx,37,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/BrowserPanel.jsx,59,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/BrowserPanel.jsx,79,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/components/Sidebar.jsx,199,Prefer `globalThis` over `window`.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:renderer/components/Sidebar.jsx,406,Extract this nested ternary operation into an independent statement.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:renderer/components/Sidebar.jsx,488,Extract this nested ternary operation into an independent statement.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,23,Extract this nested ternary operation into an independent statement.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,52,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,63,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,71,Prefer `globalThis` over `window`.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,90,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,92,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,99,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,101,Prefer `globalThis` over `window`.
javascript:S4624,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,138,Refactor this code to not use nested template literals.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,145,Prefer `globalThis` over `window`.
javascript:S6853,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,312,A form label must be associated with a control.
javascript:S6853,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,417,A form label must be associated with a control.
javascript:S6853,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,503,A form label must be associated with a control.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,547,Extract this nested ternary operation into an independent statement.
javascript:S6844,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,632,Anchor used as a button. Anchors are primarily expected to navigate. Use the button element instead.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/BrowserAutomation.jsx,26,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/BrowserAutomation.jsx,45,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/BrowserAutomation.jsx,65,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/PromptTemplates.jsx,15,Prefer `globalThis` over `window`.
