Key,Type,Severity,Component,Line,Message,Effort,RuleName,HowToFix,Tags
6006a263-3705-441d-8e83-a80bdff6db90,BUG,CRITICAL,strategic-learning-unified-theatre:src/browser-bridge.js,713,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.",10min,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function","",""
2340c4ff-6e2a-4d01-8fb2-112a29d2e40e,CODE_SMELL,MINOR,strategic-learning-unified-theatre:tests/sprint18-smoke.test.js,8,"Remove this unused import of 'DomainError'.",1min,"Unnecessary imports should be removed","",""
04ff5561-09fc-40be-909f-6c90c5cd44da,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/browser-bridge.js,72,"Use the ""RegExp.exec()"" method instead.",5min,"""RegExp.exec()"" should be preferred over ""String.match()""","",""
4e1c294d-4d3b-4807-93a3-61732e7933f9,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:src/browser-bridge.js,713,"Move this array ""sort"" operation to a separate statement or replace it with ""toSorted"".",5min,"Array-mutating methods should not be used misleadingly","",""
7918d576-cb5c-4547-859d-52d584cb6832,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/document-ingester.js,23,"Use the ""RegExp.exec()"" method instead.",5min,"""RegExp.exec()"" should be preferred over ""String.match()""","",""
8a5f2996-694f-439f-9134-96c1a5f68415,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/gateway.ts,39,"The signature '(): $ZodFlattenedError<{ requestId: string; prompt: string; workspaceId?: string; systemPrompt?: string; intent?: ""general"" | ""tool_use"" | ""summarization"" | ""coding"" | ""architecture"" | ""research"" | ""planning"" | ""debugging"" | ""analysis""; context?: string[]; metadata?: Record<...>; constraints?: { ...; }; stream?: boolean; }, string>' of 'parsedRequest.error.flatten' is deprecated.",15min,"Deprecated APIs should not be used","",""
21987e50-3344-46ed-9d84-f899d8627edd,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/gateway.ts,82,"The signature '(): $ZodFlattenedError<{ requestId: string; provider: ""custom"" | ""perplexity"" | ""gemini"" | ""local"" | ""openai"" | ""anthropic"" | ""groq""; model: string; outputText: string; finishReason?: ""length"" | ""unknown"" | ""error"" | ""stop"" | ""tool_call""; usage?: { ...; }; routingReasons?: { ...; }[]; raw?: unknown; }, string>' of 'parsedResponse.error.flatten' is deprecated.",15min,"Deprecated APIs should not be used","",""
87d3947c-1385-4b81-a9ea-ec563c357401,CODE_SMELL,MINOR,strategic-learning-unified-theatre:scripts/check-sonar-readiness.mjs,1,"Prefer `node:fs/promises` over `fs/promises`.",5min,"Node.js built-in modules should be imported using the ""node:"" protocol","",""
0cd8e275-f950-4e48-a8dc-cfa5ead2f1f1,CODE_SMELL,MINOR,strategic-learning-unified-theatre:scripts/check-sonar-readiness.mjs,11,"Handle this exception or don't catch it at all.",1h,"Exceptions should not be ignored","",""
9dc36813-d8ba-4a42-bc14-6cfbcef60af1,CODE_SMELL,CRITICAL,strategic-learning-unified-theatre:scripts/check-sonar-readiness.mjs,25,"Refactor this function to reduce its Cognitive Complexity from 27 to the 15 allowed.",17min,"Cognitive Complexity of functions should not be too high","",""
